system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_1_1_2_117_0,0.0433,0.0312,0.0198,0.0372,0.0462,0.0342,0.0537,0.0669,0.0689,0.0792,0.0742,0.042,-0.28052804,0.111895755,0.04553166,0.2631579,0.19379845,-0.2235294,0.00855,0.36082473,-0.6,0.087719314,0.39682537,-0.2631579,0.19187358,0.11004238,-20.709661,-11.895622,0.10220636,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42724217602799,-7.274689197631464]}"
1_1_1_1_2_0_0,0.0407,0.0194,0.0166,0.0341,0.0398,0.032,0.0358,0.0344,0.0323,0.0308,0.0279,0.0637,-0.116079085,-0.0031022225,0.0010329771,-0.12747875,0.34459457,-0.0777778,0.017246753,-0.050847456,-0.29957807,0.27476633,-0.019108307,0.12747875,-0.075075075,-0.0031982986,-25.605543,-16.192974,-0.008762613,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4399290109533,-7.270996427206832]}"
1_1_1_1_2_188_0,0.0389,0.0378,0.0239,0.0306,0.0384,0.029,0.0456,0.0602,0.0474,0.038,0.0505,0.0591,-0.013293949,0.022900762,0.007440459,-0.0052356417,0.007874051,-0.22528361,0.018239474,0.107871704,-0.22778673,-0.105263144,0.13432835,0.0052356417,-0.09090911,0.023809522,-19.507336,-12.514816,0.019521628,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44940961682403,-7.2964257449042895]}"
1_1_1_1_2_177_0,0.0401,0.0869,0.0438,0.032,0.048,0.0292,0.0781,0.2177,0.2549,0.1505,0.2559,0.1983,-0.22237106,0.27931288,0.11107437,0.5163728,-0.28836176,-0.32976282,0.008498074,0.64931506,-0.5491508,-0.46173254,0.6750139,-0.5163728,0.3167104,0.2676916,-15.707157,-11.045048,0.26043954,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44414936364142,-7.301213383308219]}"
1_1_1_1_2_159_0,0.0413,0.0245,0.0134,0.0314,0.0327,0.0215,0.0483,0.0587,0.0574,0.0427,0.0555,0.1253,-0.23397169,0.056611832,0.020668337,0.13262601,0.14335664,-0.292876,0.0067470726,0.15249665,-0.52228165,0.1234347,0.33021805,-0.13262601,-0.06153846,0.05636299,-25.666773,-18.230335,0.029524477,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43417436868462,-7.308980050345716]}"
1_1_1_1_2_97_0,0.0461,0.0459,0.0371,0.0434,0.0471,0.0409,0.0506,0.0437,0.0477,0.0465,0.0501,0.0635,-0.017543882,0.014486759,0.0047138995,-0.0064102453,0.012903244,-0.1060241,0.03263204,0.034482762,-0.11244022,-0.027995495,0.06407324,0.0064102453,-0.0422245,0.014300311,-18.18108,-17.514303,0.007882693,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42910327086152,-7.307255033162393]}"
1_1_1_1_2_13_0,0.0468,0.0305,0.0252,0.0363,0.0396,0.0323,0.047,0.043,0.0432,0.0516,0.0407,0.0601,-0.16655609,0.049581263,0.019619,0.13157897,0.12981454,-0.09515261,0.015774418,0.17406145,-0.34375,0.08682634,0.23003578,-0.13157897,0.046653163,0.049580414,-22.434937,-13.97207,0.039037257,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4286505312336,-7.307073551914621]}"
1_1_1_1_2_47_0,0.0428,0.0216,0.0148,0.0348,0.0435,0.0334,0.0404,0.0398,0.041,0.0316,0.0407,0.0351,-0.09390444,-0.0046343994,2.912013E-4,-0.1584554,0.33640552,-0.1868132,0.015643038,-0.048192803,-0.36206895,0.23404254,-0.02769232,0.1584554,-0.122222245,-0.004778763,-18.027843,-12.998576,-0.008474582,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43394688805279,-7.273702625827575]}"
1_1_1_1_2_21_0,0.0463,0.0417,0.0322,0.042,0.0433,0.0376,0.0453,0.0471,0.048,0.0499,0.0481,0.0663,-0.07359812,0.032014575,0.011573395,0.07081545,0.018823497,-0.1285521,0.024262927,0.085963,-0.21559072,0.003584201,0.14057143,-0.07081545,0.048319317,0.031404253,-20.901134,-17.2068,0.020020273,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4268376170964,-7.307885338699082]}"
1_1_1_1_2_178_0,0.0395,0.0211,0.0138,0.0372,0.0419,0.0376,0.0361,0.032,0.0307,0.0371,0.0319,0.045,-0.11729323,-0.0012707151,0.0024241377,-0.060759533,0.33015877,-0.20916905,0.013985984,-0.0013459178,-0.4577603,0.27615783,-0.006693454,0.060759533,0.013661182,-0.0013050314,-12.444393,-7.921467,-2.6119195E-4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44170324338737,-7.30130081963562]}"
